left_0_x,left_0_y,left_0_z,left_1_x,left_1_y,left_1_z,left_2_x,left_2_y,left_2_z,left_3_x,left_3_y,left_3_z,left_4_x,left_4_y,left_4_z,left_5_x,left_5_y,left_5_z,left_6_x,left_6_y,left_6_z,left_7_x,left_7_y,left_7_z,left_8_x,left_8_y,left_8_z,left_9_x,left_9_y,left_9_z,left_10_x,left_10_y,left_10_z,left_11_x,left_11_y,left_11_z,left_12_x,left_12_y,left_12_z,left_13_x,left_13_y,left_13_z,left_14_x,left_14_y,left_14_z,left_15_x,left_15_y,left_15_z,left_16_x,left_16_y,left_16_z,left_17_x,left_17_y,left_17_z,left_18_x,left_18_y,left_18_z,left_19_x,left_19_y,left_19_z,left_20_x,left_20_y,left_20_z,right_0_x,right_0_y,right_0_z,right_1_x,right_1_y,right_1_z,right_2_x,right_2_y,right_2_z,right_3_x,right_3_y,right_3_z,right_4_x,right_4_y,right_4_z,right_5_x,right_5_y,right_5_z,right_6_x,right_6_y,right_6_z,right_7_x,right_7_y,right_7_z,right_8_x,right_8_y,right_8_z,right_9_x,right_9_y,right_9_z,right_10_x,right_10_y,right_10_z,right_11_x,right_11_y,right_11_z,right_12_x,right_12_y,right_12_z,right_13_x,right_13_y,right_13_z,right_14_x,right_14_y,right_14_z,right_15_x,right_15_y,right_15_z,right_16_x,right_16_y,right_16_z,right_17_x,right_17_y,right_17_z,right_18_x,right_18_y,right_18_z,right_19_x,right_19_y,right_19_z,right_20_x,right_20_y,right_20_z
-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,0.368175029754640,-1.589640617370600,0E-15,-0.429229259490970,-1.506375312805200,0E-15,-0.915318965911870,-0.932889938354490,0E-15,-0.968875885009770,-0.338578224182130,0E-15,-0.834930896759030,0.095215797424316,0E-15,-0.917339324951170,-0.036313056945801,0E-15,-1.042966842651400,0.345738410949710,0E-15,-0.883490562438960,0.151894569396970,0E-15,-0.753984928131100,-0.070380210876465,0E-15,-0.366404056549070,0.287907600402830,0E-15,-0.457833766937260,0.458033561706540,0E-15,-0.312574386596680,0.185141563415530,0E-15,-0.220169544219970,-0.146047592163090,0E-15,0.126357078552250,0.370336532592770,0E-15,0.030707359313965,0.537417411804200,0E-15,0.155646085739140,0.247343063354490,0E-15,0.205451250076290,-0.091403007507324,0E-15,0.634295701980590,0.392661094665530,0E-15,0.599535703659060,0.573189735412600,0E-15,0.664753437042240,0.340559005737300,0E-15,0.738307476043700,0.045910835266113,0E-15
-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,0.368175029754640,-1.589640617370600,0E-15,-0.429229259490970,-1.506375312805200,0E-15,-0.915318965911870,-0.932889938354490,0E-15,-0.968875885009770,-0.338578224182130,0E-15,-0.834930896759030,0.095215797424316,0E-15,-0.917339324951170,-0.036313056945801,0E-15,-1.042966842651400,0.345738410949710,0E-15,-0.883490562438960,0.151894569396970,0E-15,-0.753984928131100,-0.070380210876465,0E-15,-0.366404056549070,0.287907600402830,0E-15,-0.457833766937260,0.458033561706540,0E-15,-0.312574386596680,0.185141563415530,0E-15,-0.220169544219970,-0.146047592163090,0E-15,0.126357078552250,0.370336532592770,0E-15,0.030707359313965,0.537417411804200,0E-15,0.155646085739140,0.247343063354490,0E-15,0.205451250076290,-0.091403007507324,0E-15,0.634295701980590,0.392661094665530,0E-15,0.599535703659060,0.573189735412600,0E-15,0.664753437042240,0.340559005737300,0E-15,0.738307476043700,0.045910835266113,0E-15
-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,0.368175029754640,-1.589640617370600,0E-15,-0.429229259490970,-1.506375312805200,0E-15,-0.915318965911870,-0.932889938354490,0E-15,-0.968875885009770,-0.338578224182130,0E-15,-0.834930896759030,0.095215797424316,0E-15,-0.917339324951170,-0.036313056945801,0E-15,-1.042966842651400,0.345738410949710,0E-15,-0.883490562438960,0.151894569396970,0E-15,-0.753984928131100,-0.070380210876465,0E-15,-0.366404056549070,0.287907600402830,0E-15,-0.457833766937260,0.458033561706540,0E-15,-0.312574386596680,0.185141563415530,0E-15,-0.220169544219970,-0.146047592163090,0E-15,0.126357078552250,0.370336532592770,0E-15,0.030707359313965,0.537417411804200,0E-15,0.155646085739140,0.247343063354490,0E-15,0.205451250076290,-0.091403007507324,0E-15,0.634295701980590,0.392661094665530,0E-15,0.599535703659060,0.573189735412600,0E-15,0.664753437042240,0.340559005737300,0E-15,0.738307476043700,0.045910835266113,0E-15
-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,0.368175029754640,-1.589640617370600,0E-15,-0.429229259490970,-1.506375312805200,0E-15,-0.915318965911870,-0.932889938354490,0E-15,-0.968875885009770,-0.338578224182130,0E-15,-0.834930896759030,0.095215797424316,0E-15,-0.917339324951170,-0.036313056945801,0E-15,-1.042966842651400,0.345738410949710,0E-15,-0.883490562438960,0.151894569396970,0E-15,-0.753984928131100,-0.070380210876465,0E-15,-0.366404056549070,0.287907600402830,0E-15,-0.457833766937260,0.458033561706540,0E-15,-0.312574386596680,0.185141563415530,0E-15,-0.220169544219970,-0.146047592163090,0E-15,0.126357078552250,0.370336532592770,0E-15,0.030707359313965,0.537417411804200,0E-15,0.155646085739140,0.247343063354490,0E-15,0.205451250076290,-0.091403007507324,0E-15,0.634295701980590,0.392661094665530,0E-15,0.599535703659060,0.573189735412600,0E-15,0.664753437042240,0.340559005737300,0E-15,0.738307476043700,0.045910835266113,0E-15
-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,0.368175029754640,-1.589640617370600,0E-15,-0.429229259490970,-1.506375312805200,0E-15,-0.915318965911870,-0.932889938354490,0E-15,-0.968875885009770,-0.338578224182130,0E-15,-0.834930896759030,0.095215797424316,0E-15,-0.917339324951170,-0.036313056945801,0E-15,-1.042966842651400,0.345738410949710,0E-15,-0.883490562438960,0.151894569396970,0E-15,-0.753984928131100,-0.070380210876465,0E-15,-0.366404056549070,0.287907600402830,0E-15,-0.457833766937260,0.458033561706540,0E-15,-0.312574386596680,0.185141563415530,0E-15,-0.220169544219970,-0.146047592163090,0E-15,0.126357078552250,0.370336532592770,0E-15,0.030707359313965,0.537417411804200,0E-15,0.155646085739140,0.247343063354490,0E-15,0.205451250076290,-0.091403007507324,0E-15,0.634295701980590,0.392661094665530,0E-15,0.599535703659060,0.573189735412600,0E-15,0.664753437042240,0.340559005737300,0E-15,0.738307476043700,0.045910835266113,0E-15
-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,0.368175029754640,-1.589640617370600,0E-15,-0.429229259490970,-1.506375312805200,0E-15,-0.915318965911870,-0.932889938354490,0E-15,-0.968875885009770,-0.338578224182130,0E-15,-0.834930896759030,0.095215797424316,0E-15,-0.917339324951170,-0.036313056945801,0E-15,-1.042966842651400,0.345738410949710,0E-15,-0.883490562438960,0.151894569396970,0E-15,-0.753984928131100,-0.070380210876465,0E-15,-0.366404056549070,0.287907600402830,0E-15,-0.457833766937260,0.458033561706540,0E-15,-0.312574386596680,0.185141563415530,0E-15,-0.220169544219970,-0.146047592163090,0E-15,0.126357078552250,0.370336532592770,0E-15,0.030707359313965,0.537417411804200,0E-15,0.155646085739140,0.247343063354490,0E-15,0.205451250076290,-0.091403007507324,0E-15,0.634295701980590,0.392661094665530,0E-15,0.599535703659060,0.573189735412600,0E-15,0.664753437042240,0.340559005737300,0E-15,0.738307476043700,0.045910835266113,0E-15
-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,0.368175029754640,-1.589640617370600,0E-15,-0.429229259490970,-1.506375312805200,0E-15,-0.915318965911870,-0.932889938354490,0E-15,-0.968875885009770,-0.338578224182130,0E-15,-0.834930896759030,0.095215797424316,0E-15,-0.917339324951170,-0.036313056945801,0E-15,-1.042966842651400,0.345738410949710,0E-15,-0.883490562438960,0.151894569396970,0E-15,-0.753984928131100,-0.070380210876465,0E-15,-0.366404056549070,0.287907600402830,0E-15,-0.457833766937260,0.458033561706540,0E-15,-0.312574386596680,0.185141563415530,0E-15,-0.220169544219970,-0.146047592163090,0E-15,0.126357078552250,0.370336532592770,0E-15,0.030707359313965,0.537417411804200,0E-15,0.155646085739140,0.247343063354490,0E-15,0.205451250076290,-0.091403007507324,0E-15,0.634295701980590,0.392661094665530,0E-15,0.599535703659060,0.573189735412600,0E-15,0.664753437042240,0.340559005737300,0E-15,0.738307476043700,0.045910835266113,0E-15
-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,0.368175029754640,-1.589640617370600,0E-15,-0.429229259490970,-1.506375312805200,0E-15,-0.915318965911870,-0.932889938354490,0E-15,-0.968875885009770,-0.338578224182130,0E-15,-0.834930896759030,0.095215797424316,0E-15,-0.917339324951170,-0.036313056945801,0E-15,-1.042966842651400,0.345738410949710,0E-15,-0.883490562438960,0.151894569396970,0E-15,-0.753984928131100,-0.070380210876465,0E-15,-0.366404056549070,0.287907600402830,0E-15,-0.457833766937260,0.458033561706540,0E-15,-0.312574386596680,0.185141563415530,0E-15,-0.220169544219970,-0.146047592163090,0E-15,0.126357078552250,0.370336532592770,0E-15,0.030707359313965,0.537417411804200,0E-15,0.155646085739140,0.247343063354490,0E-15,0.205451250076290,-0.091403007507324,0E-15,0.634295701980590,0.392661094665530,0E-15,0.599535703659060,0.573189735412600,0E-15,0.664753437042240,0.340559005737300,0E-15,0.738307476043700,0.045910835266113,0E-15
-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,0.368175029754640,-1.589640617370600,0E-15,-0.429229259490970,-1.506375312805200,0E-15,-0.915318965911870,-0.932889938354490,0E-15,-0.968875885009770,-0.338578224182130,0E-15,-0.834930896759030,0.095215797424316,0E-15,-0.917339324951170,-0.036313056945801,0E-15,-1.042966842651400,0.345738410949710,0E-15,-0.883490562438960,0.151894569396970,0E-15,-0.753984928131100,-0.070380210876465,0E-15,-0.366404056549070,0.287907600402830,0E-15,-0.457833766937260,0.458033561706540,0E-15,-0.312574386596680,0.185141563415530,0E-15,-0.220169544219970,-0.146047592163090,0E-15,0.126357078552250,0.370336532592770,0E-15,0.030707359313965,0.537417411804200,0E-15,0.155646085739140,0.247343063354490,0E-15,0.205451250076290,-0.091403007507324,0E-15,0.634295701980590,0.392661094665530,0E-15,0.599535703659060,0.573189735412600,0E-15,0.664753437042240,0.340559005737300,0E-15,0.738307476043700,0.045910835266113,0E-15
-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,0.368175029754640,-1.589640617370600,0E-15,-0.429229259490970,-1.506375312805200,0E-15,-0.915318965911870,-0.932889938354490,0E-15,-0.968875885009770,-0.338578224182130,0E-15,-0.834930896759030,0.095215797424316,0E-15,-0.917339324951170,-0.036313056945801,0E-15,-1.042966842651400,0.345738410949710,0E-15,-0.883490562438960,0.151894569396970,0E-15,-0.753984928131100,-0.070380210876465,0E-15,-0.366404056549070,0.287907600402830,0E-15,-0.457833766937260,0.458033561706540,0E-15,-0.312574386596680,0.185141563415530,0E-15,-0.220169544219970,-0.146047592163090,0E-15,0.126357078552250,0.370336532592770,0E-15,0.030707359313965,0.537417411804200,0E-15,0.155646085739140,0.247343063354490,0E-15,0.205451250076290,-0.091403007507324,0E-15,0.634295701980590,0.392661094665530,0E-15,0.599535703659060,0.573189735412600,0E-15,0.664753437042240,0.340559005737300,0E-15,0.738307476043700,0.045910835266113,0E-15
